competitor_id,brand_name,lat,lng,brand_tier,capacity,utilization,years_operating
29bfb00a-028c-4ea4-baf0-7c77acf4e9fe,Cafe Coffee Day,12.932822090800757,77.45854246465342,1,639.8243647713026,0.8151822915807863,5.994906591664841
ae427899-bfa6-4d69-b18b-794ac103fb6c,Cafe Coffee Day,13.078519269670213,77.73683311200543,1,327.8461757633462,0.68515310705284,6.151596279216278
71cb2253-b579-49ca-8c5b-4da99c0d0077,Blue Tokai,12.925358051084084,77.71293964282037,3,372.54404814869554,0.6812883497142039,0.1
5dbecefa-6cb4-4a0e-a2e6-793e14824b0f,Third Wave Coffee,13.012890826872875,77.57079205119388,2,143.1042800469147,0.8485345717673785,6.401874033956904
74d6e9ac-9ec8-474c-bc4b-0718494e68b6,Costa Coffee,12.883925724170096,77.7029162039192,1,499.8349250383552,0.9338959732754062,3.76869208661106
dbe93fd0-fe62-4e78-b18f-e6a5d6964880,Cafe Coffee Day,13.05564700392782,77.64502263689468,3,509.51515044883115,0.8656878305975402,5.602385576042001
e43f1563-2c93-4126-8acf-b8be146b3e28,Starbucks,13.107009358999813,77.50100836562389,3,474.7764083625335,0.8409513280539426,3.30236939822362
26e751d2-4470-44c9-8761-392aaa88f92f,Blue Tokai,13.072315375782837,77.58684253860461,2,618.6079156311816,0.9430617046929622,4.147245496281937
e8d0edfb-806e-4e22-93d9-c948dd5d4102,Cafe Coffee Day,13.136068663930283,77.46899607959425,1,724.4620276716886,0.9501250597139693,2.8832458193541086
56c32429-c637-4405-a65a-14c9a235f475,Costa Coffee,13.146636516193158,77.55047921641234,2,450.51574278630113,0.8681760241272294,1.9088748246537803
ed3637bd-1b04-4f1e-b62b-56fed67db634,Blue Tokai,12.988260252311916,77.51209456392571,2,784.1651772045288,0.9101548402296453,7.920471254570427
b95986f3-6403-4dda-a355-c412f3798a3e,Starbucks,12.896442317175605,77.69642376116985,2,459.0267024767382,0.6206570779878551,0.3512031639609014
34fc5cfb-c6f7-4107-9103-2b9fc0a3893d,Blue Tokai,13.063761426342873,77.6712089394568,1,453.26718866572645,0.8406188618415495,0.19761620344799202
