store_id,name,lat,lng,city,monthly_revenue
8c04eac7-955f-40fc-9695-71c72b6e1f87,TradeHalo Electronic City,13.12557191193486,77.47797936570049,Bengaluru,1068002.95455865
8b51d591-fb8a-4bd1-b097-e9989c515953,TradeHalo Hebbal,13.066579110383074,77.57785684158665,Bengaluru,2179439.0194160976
89e97deb-ef0e-41d9-b859-a0f4508de13e,TradeHalo BTM Layout,12.983629457107924,77.66107365786279,Bengaluru,2568201.0766151203
dd2b22f3-5ba0-4910-9492-ef1118d70101,TradeHalo Malleshwaram,13.034607819219982,77.48109029224521,Bengaluru,1904907.5262926791
af77702c-b386-4206-88f8-4e9578e4cafa,TradeHalo Bellandur,13.010510603658993,77.45875327762981,Bengaluru,2062868.7305226093
07a7db92-3f87-4644-91bd-e3192e60a5e6,TradeHalo Bellandur,12.970469603109558,77.61595056313429,Bengaluru,1197157.165686374
0625f3db-f988-49f0-aea7-e6b922e05c32,TradeHalo JP Nagar,12.888565050108737,77.5448457038556,Bengaluru,2260160.2123792684
f2a11ca4-55fa-4fd3-937c-750e8be7dc35,TradeHalo Marathahalli,13.092501227441243,77.72179577996627,Bengaluru,2463502.128898684
bc7af47b-e0b9-40ef-9cb5-17b9fb8098d3,TradeHalo JP Nagar,13.026324481753857,77.62776835808177,Bengaluru,2820441.5676269224
19595ec5-5a29-44e0-b280-103ad8ca6dc4,TradeHalo MG Road,13.060760613905346,77.54013473632205,Bengaluru,812668.7843220255
a55bddbb-3809-4386-97c4-17220b786b9d,TradeHalo HSR Layout,12.912526946771802,77.5441726264079,Bengaluru,2264259.4254086344
b3033b08-9010-4ac6-a029-9b18d87aca7d,TradeHalo Indiranagar,12.910390303280508,77.48872298556103,Bengaluru,1130082.4035098644
be980c93-2a55-4f26-ac60-802f55d4c756,TradeHalo BTM Layout,13.101697243083398,77.5812909724902,Bengaluru,2195579.2288569487
1fc477ab-4491-4e92-8da8-78e8761bc314,TradeHalo Indiranagar,13.014205825045211,77.47052909816729,Bengaluru,1722821.9016830628
dd12cf98-6b3e-4cfc-a7f0-89d80c6fe31b,TradeHalo Koramangala,12.985857311776511,77.5821958150521,Bengaluru,2250270.3418340757
